id,nombre,descripcion,lat,lng,type
1,Obelisco,"El Obelisco de Buenos Aires es un monumento histórico considerado un ícono de la ciudad de Buenos Aires, construido en 1936 con motivo del cuarto centenario de la llamada primera fundación de la ciudad por Pedro de Mendoza.",-34.603544,-58.381586,Monumentos
4,Plaza Lavalle,"La plaza Lavalle es una espacio verde de tres manzanas de Buenos Aires, Argentina. Se encuentra en el barrio de San Nicolás, rodeada de las calles Libertad, Lavalle, Talcahuano y avenida Córdoba.",-34.601936,-58.384335,Parques
5,Teatro Colon,"El Teatro Colón es un teatro de ópera de la ciudad de Buenos Aires. Por su tamaño, acústica y trayectoria, está considerado uno de los cinco mejores del mundo. Según una encuesta realizada por el experto en acústica Leo Beranek a destacados directores internacionales de ópera y de orquesta, el Teatro Colón posee la sala con la mejor acústica para ópera y la segunda mejor para conciertos del mundo.",-34.600879,-58.38309,Musica
2,Plaza General San Martin,"La Plaza General San Martín es el principal espacio verde en el barrio de Retiro en Buenos Aires. Inaugurada en 1862 donde antes había existido una plaza de toros, fue declarada Lugar Histórico Nacional en 1942.",-34.594627,-58.375626,Parques
3,Patio Bullrich,"El Patio Bullrich es un centro comercial en el barrio de Retiro, Ciudad de Buenos Aires, Argentina.",-34.588917,-58.384196,Compras
6,Cementerio de la Recoleta,"El Cementerio de la Recoleta es un famoso cementerio de la ciudad de Buenos Aires, Argentina. Está ubicado en el distinguido barrio de Recoleta y contiene las tumbas de numerosas personalidades destacadas del país. Se inauguró el 17 de noviembre de 1822, durante la gobernación del brigadier general Martín Rodríguez, siendo ministro de Gobierno Bernardino Rivadavia. Se transformó así en el primer cementerio público de la ciudad.",-34.587298,-58.393441,Arte y Cultura
7,Centro Cultural Recoleta,"El Centro Cultural Recoleta (en un comienzo llamado Centro Cultural Ciudad de Buenos Aires) es un centro de exposiciones ubicado en el barrio de Recoleta, en la Ciudad de Buenos Aires. Fue declarado Monumento Histórico Nacional y forma parte de un polo de atractivos turísticos y de esparcimiento, junto al Cementerio de la Recoleta y la Plaza Intendente Alvear, mal llamada Plaza Francia(Esta se encuentra donde se alza el Monumento de Francia a la Argentina, frente al Museo Nacional de Bellas Artes). Ocupa el edificio del antiguo Asilo General Viamonte, y se trata de uno de los espacios culturales de mayor importancia de la ciudad.",-34.586265,-58.391789,Arte y Cultura
8,Plaza Francia,"La Plaza Francia es un espacio público verde en el barrio de Recoleta, ciudad de Buenos Aires. Popularmente, la gente le ha trasladado su nombre a la cercana Plaza Intendente Alvear, lo cual puede llevar a confusiones.",-34.584892,-58.393203,Parques
9,Museo Nacional de Bellas Artes,El Museo Nacional de Bellas Artes (MNBA) es un museo y una Galería de arte argentino con sedes en la Ciudad de Buenos Aires y en la ciudad de Neuquén (MNBA Neuquén). Tiene el mayor patrimonio artístico del país y es uno de los principales de América Latina.,-34.583836,-58.392924,Arte y Cultura
10,Biblioteca Nacional,"Una biblioteca nacional es aquella institución en la cual se deposita, acopia, preserva y difunde el patrimonio bibliográfico (libros, diarios, revistas, folletos, grabaciones, etc.) de un país. A diferencia de una biblioteca pública, está integrada por colecciones únicas e históricas de acceso restringido al público en general. Contiene por ejemplo primeras ediciones de obras históricas. Y, a diferencia de un Archivo Nacional, no guarda los documentos administrativos, legales o colecciones de instituciones públicas o particulares.",-34.584658,-58.398074,Arte y Cultura
11,Congreso de la Nación Argentina,"El Congreso de la Nación Argentina es el órgano que ejerce el poder legislativo federal de la República Argentina. Este se conforma por una asamblea bicameral, con 329 miembros dividido en una Cámara de Diputados que consta de 257 diputados, y un Senado que consta de 72 senadores.",-34.609785,-58.392628,Monumentos
12,Palacio Barolo,"El Palacio Barolo (también llamado Pasaje Barolo o Galería Barolo) es un edificio de oficinas ubicado sobre la Avenida de Mayo, en el barrio de Monserrat, en Buenos Aires, Argentina. Fue diseñado por el italiano Mario Palanti e inaugurado en 1923. Hasta los años 1930 fue el más alto de la ciudad y de América del Sur al igual que su hermano gemelo el Palacio Salvo, construido por el mismo arquitecto en Montevideo. En 1997 fue declarado Monumento Histórico Nacional.",-34.609538,-58.385832,Arte y Cultura
13,Café Tortoni ,"El Café Tortoni, ubicado en el 825 de la Avenida de Mayo, en la Ciudad de Buenos Aires, Argentina. Su nombre casi sin dudas procede del que fuera a fines del siglo XIX el célebre Café Tortoni de París. Durante casi un siglo el Café Tortoni porteño-argentino es el más representativo del espíritu tradicional de la dicha avenida de Mayo, y es ya una leyenda de la ciudad de Buenos Aires. En tal café funcionó la peña literaria de mayor predicamento de Buenos Aires, liderada por el pintor Benito Quinquela Martín.

En la actualidad sigue siendo un lugar de difusión cultural y turístico por excelencia.",-34.608644,-58.378223,Gastronomia
14,Plaza de Mayo,"La Plaza de Mayo, sitio fundacional de la ciudad de Buenos Aires, Argentina, nació de la unión de las plazas de la Victoria y del Fuerte, al demolerse, en 1884, una construcción llamada Recova Vieja, que las separaba.

Se encuentra en el denominado microcentro porteño, rodeada por las calles Hipólito Yrigoyen, Balcarce, Avenida Rivadavia y Bolívar del barrio de Monserrat. Nacen desde su lado oeste tres importantes avenidas: Presidente Julio A. Roca, Presidente Roque Sáenz Peña y Avenida de Mayo. En su entorno se encuentran varios de los principales monumentos y puntos de interés: el Cabildo histórico, la Casa Rosada (donde reside el Poder Ejecutivo de la Nación), la Catedral Metropolitana, el edificio del Gobierno de la Ciudad de Buenos Aires y la casa central del Banco Nación.",-34.608331,-58.372283,Parques
15,Museo Histórico Nacional del Cabildo y la Revolución de Mayo,"En el edificio llamado Cabildo de Buenos Aires funcionó el Cabildo de la Ciudad de la Santísima Trinidad y Puerto de Nuestra Señora del Buen Ayre, una institución que inicialmente fue un cabildo colonial fundado por Juan de Garay en 1580 cuando la segunda fundación de la ciudad de Buenos Aires y que luego de la Revolución de Mayo de 1810, que derrocó al virrey español Baltasar Hidalgo de Cisneros y derivó en la guerra que llevó a la independencia de las Provincias Unidas del Río de la Plata, se transformó en una Junta de Gobierno que funcionó hasta su disolución en 1821 por el gobernador de Buenos Aires Martín Rodríguez.",-34.608734,-58.373788,Arte y Cultura
